Sentence,Tags
"['sarah', 'was', 'born', 'from', 'new', 'york']","['B-PER', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
"['fake_per_49', 'was', 'born', 'near', 'paris']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['emma', 'fake_per_31', 'in', 'moscow']","['B-PER', 'I-PER', 'O', 'B-LOC']"
"['fake_misc_39', 'fake_misc_47', 'around', 'tokyo']","['I-MISC', 'B-MISC', 'O', 'B-LOC']"
"['bob', 'lives', 'near', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'travels', 'in', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_27', 'moved', 'word_20', 'fake_date_33']","['I-ORG', 'O', 'O', 'B-DATE']"
"['sarah', 'travels', 'in', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['mary', 'fake_date_15', 'in', 'fake_loc_70']","['B-PER', 'B-DATE', 'O', 'I-LOC']"
"['jhon', 'works', 'around', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_5', 'studies', 'fake_loc_18', 'tokyo']","['I-DATE', 'O', 'B-LOC', 'B-LOC']"
"['michael', 'works', 'fake_date_31', 'rome']","['B-PER', 'O', 'I-DATE', 'B-LOC']"
"['linda', 'lives', 'fake_misc_74', 'beijing']","['B-PER', 'O', 'B-MISC', 'B-LOC']"
"['charlie', 'was', 'born', 'fake_date_52', 'beijing']","['B-PER', 'O', 'O', 'I-DATE', 'B-LOC']"
"['emma', 'fake_org_21', 'from', 'canada']","['B-PER', 'I-ORG', 'O', 'B-LOC']"
"['alice', 'fake_per_71', 'fake_date_87', 'rome']","['B-PER', 'B-PER', 'B-DATE', 'B-LOC']"
"['mary', 'was', 'born', 'in', 'beijing']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['david', 'works', 'in', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'studies', 'around', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'works', 'word_25', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_loc_81', 'moved', 'near', 'rome']","['I-LOC', 'O', 'O', 'B-LOC']"
"['fake_misc_95', 'word_80', 'to', 'canada']","['I-MISC', 'O', 'O', 'B-LOC']"
"['michael', 'was', 'born', 'from', 'tokyo']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['jhon', 'works', 'in', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'was', 'born', 'fake_per_69', 'new', 'fake_per_25']","['B-PER', 'O', 'O', 'I-PER', 'B-LOC', 'I-PER']"
"['bob', 'studies', 'in', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_59', 'fake_loc_73', 'in', 'new', 'fake_org_21']","['I-DATE', 'B-LOC', 'O', 'B-LOC', 'I-ORG']"
"['fake_org_97', 'moved', 'near', 'tokyo']","['I-ORG', 'O', 'O', 'B-LOC']"
"['jhon', 'travels', 'in', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'travels', 'around', 'fake_prod_34']","['B-PER', 'O', 'O', 'B-PROD']"
"['fake_date_23', 'fake_org_92', 'from', 'paris']","['I-DATE', 'B-ORG', 'O', 'B-LOC']"
"['bob', 'works', 'from', 'fake_org_70']","['B-PER', 'O', 'O', 'B-ORG']"
"['alice', 'travels', 'fake_prod_87', 'fake_misc_70', 'york']","['B-PER', 'O', 'B-PROD', 'I-MISC', 'I-LOC']"
"['fake_prod_100', 'fake_date_31', 'around', 'fake_prod_70']","['B-PROD', 'B-DATE', 'O', 'I-PROD']"
"['fake_date_81', 'fake_prod_97', 'fake_org_26', 'fake_date_46']","['I-DATE', 'B-PROD', 'I-ORG', 'I-DATE']"
"['david', 'lives', 'to', 'word_39']","['B-PER', 'O', 'O', 'O']"
"['fake_org_58', 'fake_prod_53', 'fake_org_49', 'fake_per_72']","['I-ORG', 'B-PROD', 'I-ORG', 'I-PER']"
"['linda', 'travels', 'fake_org_96', 'madrid']","['B-PER', 'O', 'I-ORG', 'B-LOC']"
"['fake_per_46', 'moved', 'to', 'paris']","['I-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'lives', 'to', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'lives', 'around', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_55', 'was', 'born', 'fake_org_35', 'fake_prod_80']","['I-MISC', 'O', 'O', 'B-ORG', 'I-PROD']"
"['fake_prod_39', 'fake_prod_90', 'fake_per_81', 'new', 'york']","['I-PROD', 'B-PROD', 'I-PER', 'B-LOC', 'I-LOC']"
"['emma', 'fake_prod_83', 'near', 'paris']","['B-PER', 'I-PROD', 'O', 'B-LOC']"
"['word_27', 'works', 'in', 'fake_misc_11']","['O', 'O', 'O', 'I-MISC']"
"['fake_loc_50', 'fake_misc_26', 'around', 'berlin']","['I-LOC', 'I-MISC', 'O', 'B-LOC']"
"['fake_misc_54', 'moved', 'fake_misc_40', 'canada']","['B-MISC', 'O', 'I-MISC', 'B-LOC']"
"['charlie', 'fake_loc_20', 'fake_org_88', 'london']","['B-PER', 'B-LOC', 'I-ORG', 'B-LOC']"
"['alice', 'fake_org_50', 'fake_loc_4', 'rome']","['B-PER', 'B-ORG', 'B-LOC', 'B-LOC']"
"['michael', 'travels', 'to', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
